,description,id,location,name,price,seller,strikethrough-price,url
46,The professional team at Advanced Liposuction Center provides clients from all walks of life with superior care using modern technologies. Treat yo...,1564722,"Cranberry Township, Pittsburgh",Laser Body Session and Optional Infrared Body Wrap,$99.99,Advanced Liposuction Center,$369,https://www.livingsocial.com/deals/1564722-laser-body-session-and-optional-infrared-body-wrap?pos=46
47,"Designed with busy women in mind, Curves has long been known for its ultra-efficient 30-minute Total Body Workout. Now, you'll not only gain access...",1551696,Bethel Park,1-Month Membership with All-New Curves Classes,$29.99,Curves PA - Bethel Park,$149,https://www.livingsocial.com/deals/1551696-1-month-membership-with-all-new-curves-classes?pos=47
48,"
Nothing creates a radiant look like a little pampering. Head over to this luxurious locale, where a team of pros will help you look gorgeous:

...",1566704,Pittsburgh,Lipo-Light Treatments,$145,Insta TAN,$400,https://www.livingsocial.com/deals/1566704-lipo-light-treatments?pos=48
49,"In Taos, New Mexico, Native American artisans create handcrafted wares using age-old methods passed down through generations. At the Inn on La Loma...",26813,Taos,An Alluring Abode in the Southwest,$149,"Inn on La Loma Plaza : Taos, NM",$275,https://www.livingsocial.com/escapes/properties/65005?td=26813&pos=49
50,"Adobe artwork and adobo sauce—Santa Fe's culture and cuisine pack a punch on this three-day tour. 

The Destination
Washed in the rich hues of t...",25913,Santa Fe,3-Day Foodie Fiesta Culinary Tour in Santa Fe,$399,"Epitourean : Santa Fe, NM",$798,https://www.livingsocial.com/escapes/properties/74951?td=25913&pos=50
51,The view from the veranda—a manicured English garden and rushing waterfall—at 1881 Crescent Cottage Inn is worth the price of admission alone. Insi...,26989,Eureka Springs,Historic Elegance at a Eureka Springs Inn,$157,"1881 Crescent Cottage Inn : Eureka Springs, AR",$304,https://www.livingsocial.com/escapes/properties/73834?td=26989&pos=51
52,"""Barefoot luxury"" is how Teak Pacific Hotel describes itself—and it's not hard to see why. This all-suites property is within walking distance Noso...",26873,Playas De Nosara,Spacious Suites Near the Beach in Nosora Costa Rica,$399,"Teak Pacific Hotel : Playas De Nosara, Costa Rica",$578,https://www.livingsocial.com/escapes/properties/75703?td=26873&pos=52
53,"It doesn't get much better than an air-conditioned cabin in Hill Country—until you throw in rentals for tubing the river.

The Destination
Texas...",26383,Fentress,Grab a Tube & Float the San Marcos River from Rustic Cabins,$180,"Leisure Resort : Fentress, TX",$292,https://www.livingsocial.com/escapes/properties/72983?td=26383&pos=53
54,"Nested in the heart of Big Bear, this rustic mountain lodge is perfect for family-friendly adventures and romantic getaways alike.

The Destinati...",26523,Big Bear Lake,Kick Back in a Rustic Mountain Lodge Near Big Bear Lake ,$54,"ITH Big Bear Mountain Adventure Lodge : Big Bear Lake, CA",$69,https://www.livingsocial.com/escapes/properties/83547?td=26523&pos=54
55,"Camp, park your RV, or spring for the deluxe, air-conditioned cabins with private baths and mini fridges at this sprawling high desert property out...",24929,Julian,High Desert Camping and Deluxe Cabins Outside Julian,$39,"Stagecoach Trails : Julian, CA",$84,https://www.livingsocial.com/escapes/properties/73347?td=24929&pos=55
56,"Ideally situated just minutes from Barnstable Harbor and just ten minutes from Main Street in Hyannis, Lamb and Lion Inn is a beautifully furnished...",26903,West Barnstable,"A ""Pet and People Friendly"" Cape Cod Getaway  ",$287,"Lamb and Lion Inn and Spa : West Barnstable, MA",$478,https://www.livingsocial.com/escapes/properties/71931?td=26903&pos=56
