,company_link,company_name,job_link,job_location,job_summary,job_title
32,http://www.indeed.com/cmp/Varen-Technologies,Varen Technologies,http://www.indeed.com/rc/clk?jk=563dfb69eacafcf9&fccid=898cb537778fecc3,"Fort Meade, MD","Data mining, statistical analysis, and mathematical models) to improve analytic tradecraft. Military Health Programs....",Mid-Level Operations Research Analyst
33,,EPM Scientific,http://www.indeed.com/company/EPM-Scientific/jobs/Senior-Scientist-ad25723bb9b1c2bf?fccid=aba1365603260499,"Redwood City, CA",To maintain and manage the ongoing progression of this toxicology lab while they work from the pre-clinical phase towards clinical phases while talking specific...,"Senior Scientist III, Pre-Clinical Safety"
34,http://www.indeed.com/cmp/Varen-Technologies,Varen Technologies,http://www.indeed.com/rc/clk?jk=b13ed5b75821faa1&fccid=898cb537778fecc3,"Fort Meade, MD","Data mining, statistical analysis, and mathematical models) to improve analytic tradecraft. Military Health Programs....",Senior Operations Research Analyst
35,http://www.indeed.com/cmp/General-Atomics-and-Affiliated-Companies,General Atomics and Affiliated Companies,http://www.indeed.com/rc/clk?jk=5eeaee5201ab9c08&fccid=7e8e6982c3236938,"San Diego, CA","Job Qualifications Typically requires a Bachelors degree, Masters degree or PhD in a scientific or related technical field and progressively complex scientific...",Scientist (Metrology)
36,http://www.indeed.com/cmp/Nvidia,NVIDIA,http://www.indeed.com/rc/clk?jk=e65a6f72a1340af3&fccid=c267f29f0f85e8b8,"Santa Clara, CA","Industry experience related to finance, health care, biomedical science, retail data analytics. Proven track record in hands-on data science roles including a...",to Sr. Deep Learning Consultant – Professional Services
37,,"AnaVation, LLC",http://www.indeed.com/rc/clk?jk=cf7e1a41ab4c4478&fccid=d6180094a572d349,Virginia,"Applications Developer, Data Architect, Database Developer (not Database Administrator), Data Scientist, Knowledge Management, Programmer, Software Developer,...",Jr. IT Professional - Early Career
38,,Resource Technology Partners,http://www.indeed.com/rc/clk?jk=4c81be4a7cb493de&fccid=0a4146cb07c08af8,"Boston, MA","Machine learning, data science, or artificial intelligence. If interested in hearing more about the role and company please connect with me on LinkedIn and send...",Machine Learning / A.I. Software Engineer
39,,Harvard Crowd Innovation Lab,http://www.indeed.com/company/Harvard-Crowd-Innovation-Lab/jobs/Postdoctoral-Fellow-78baec521479188e?fccid=5a2fa2ba14159c8a,"Cambridge, MA","The purpose of this effort is to generate new academic knowledge on how scientists approach the process of commercialization and, using these insights, build...",Postdoctoral Fellow
40,http://www.indeed.com/cmp/Huxley-Associates,Huxley Associates,http://www.indeed.com/rc/clk?jk=83bfca6f2498adcd&fccid=2e66c863123e8d81,"New York, NY 10020 (Midtown area)","Bachelors / Masters degree in Financial Engineering, quant finance, Mathematics, Physics, Engineering, etc. within a top tier institution with excellent...","Quantitative Business Analyst, AVP - NYC"
41,,"Syntelli Solutions, Inc",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqrr-Rjg2XLksGNbp1zr5zrpCZUmaYUPA5zQ_vrCj_X6a_99tNJpNpXW6b2-NnzR-s72LGlIrkkvWFRwr2frmiwkGfTVc8Qgg6uKo4D4z8Hcb6niEHqdp_J0Q9g6aYSoYTmug_FVffV-BytzsyRywa30DUuNVKAfDnrkCxUGriIYREO4-LaFfYYuLawK1IazWaXyg7LFtlAsM1wNy8ICBoftunjyWl8nw1LGb7YIFTV1V1pjuBjofaGZ4yitjHukaP8iJX6LBumdC_Ux_v5lgKWeoL3yDljhlbWjjvEzWPna5nropJheaGGFsEIyE6LAW2I-8izdTpVTTI2F_A_rHZ7rsNx95Qw-Il3a4HvCOqDs_B_8iINb_Wq36Tn9dXngrjBKi-m79JJDicDwY23tfTA4wed6JLgxWRROiyV3lzxA==&p=4&sk=&fvj=1,"Charlotte, NC 28277",Senior/Lead Data Scientist:. 2+ years as Senior/Lead Data Scientist. Lead role in our very fast growing Data Science team from marketing analytics perspective....,Data Scientist
